episode,train_reward,epsilon,mean_loss
1,-989.0073646290194,1.0,nan
2,-1180.7740350510642,1.0,nan
3,-972.9371001307051,1.0,nan
4,-1377.9779463338743,1.0,nan
5,-971.7325425049954,0.9995,0.17068123817443848
6,-839.3946716843449,0.9043623824454068,0.017082605436444284
7,-1280.409716363453,0.8182804590118382,0.007596712519298308
8,-941.9223516963194,0.7403922615512425,0.01597793136839755
9,-745.7509983969617,0.6699178685348912,0.023734208430396392
10,-802.1958419094041,0.606151595428677,0.03668859379598871
11,-979.0006787554152,0.5484549284291772,0.04334414662560448
12,-1722.1384354041347,0.4962501308035369,0.04567909792996943
13,-844.1326556329838,0.4490144578112366,0.06731280244886875
14,-379.441024123377,0.40627492227974177,0.06748005100525915
15,-472.0838440185359,0.36760355841993914,0.0932731903064996
16,-609.2540753621707,0.3326131364562932,0.11084286769852042
17,-121.20604755531221,0.30095328516083264,0.13573542969301344
18,-233.2474236990328,0.2723069834645546,0.16401714831590652
19,-126.53833087182788,0.24638738601553387,0.1757033731415868
20,-254.62409384146454,0.22293495089695248,0.18304111678153276
21,-240.30869666088884,0.20171484074388943,0.19817123603075742
22,-353.5657575463948,0.1825145712353572,0.19529428083449601
23,-122.9220530928569,0.16514188341511685,0.18391279116272927
24,-122.09241717396392,0.14942281853608433,0.1579503459855914
25,-1478.8112051003118,0.1351999761510762,0.16629675220698117
26,-1253.382178565681,0.12233093800755339,0.17921514011919498
27,-1554.6215879691747,0.11068684196427431,0.16743026277050377
28,-1513.4087614289806,0.10015109164999415,0.15909637201577426
29,-1534.5602710071216,0.09061818894356875,0.16226719219237565
30,-1315.302254732758,0.08199267758468616,0.18043794330209495
31,-746.4390392311639,0.07418818733723333,0.18241946626454592
32,-120.23365223613675,0.06712656913417349,0.1947898606210947
33,-1.1430536506334907,0.06073711254383927,0.2163208866119385
34,-125.37992681813566,0.054955837721862175,0.26361039564013483
35,-3.8278957398839624,0.04972485475880578,0.2837857698276639
36,-318.34021564726925,0.04499178400842957,0.288707410953939
37,-248.89085640661537,0.04070923159212851,0.31053353134542705
38,-1.438552943276738,0.0368343148275929,0.3060623700916767
39,-240.22655524873133,0.03332823282964087,0.3196684083342552
40,-117.84842703732272,0.030155877983500955,0.3098377851396799
41,-282.4777685475769,0.027285484400091944,0.2920351766422391
42,-236.48114437176054,0.02468830983316065,0.297648225016892
43,-369.6698554591404,0.022338347873204104,0.3035815443843603
44,-123.27334866364411,0.020212067536273238,0.3136081254482269
45,-117.35143679145283,0.018288177640071544,0.30166338551789523
46,-121.49070995612269,0.016547413607963874,0.2677033249288797
47,-121.00021902274993,0.014972344566090779,0.2628474839404225
48,-3.265650334218379,0.013547198801984371,0.234560750387609
49,-121.84073371120094,0.012257705836942604,0.22150800809264182
50,-124.98908523573257,0.011090953530777752,0.20882784320041536
51,-125.13495831483056,0.010035258788079503,0.20966950479894877
52,-3.392260337234538,0.01,0.2102896817214787
53,-118.58182942108193,0.01,0.19194842739030718
54,-226.05229936717234,0.01,0.19343593652360141
55,-124.8902625629615,0.01,0.18863471360877157
56,-229.19268610734403,0.01,0.17684971690177917
57,-123.40001497045158,0.01,0.1878021493460983
58,-119.47334671361482,0.01,0.18120828244835138
59,-126.90070965866705,0.01,0.19425708768889308
60,-253.48549189420427,0.01,0.16648834977298976
61,-122.99012500659252,0.01,0.18365330651402473
62,-4.36562028604779,0.01,0.1815693464037031
63,-233.30778257852324,0.01,0.19034242001362145
64,-343.9789642438383,0.01,0.1935693494975567
65,-124.25221411624887,0.01,0.19874225473962726
66,-122.68596896641661,0.01,0.19437137776985763
67,-246.05281363572718,0.01,0.1982689112238586
68,-126.36916573297903,0.01,0.19771613174118102
69,-232.72223404506923,0.01,0.19382738767191768
70,-258.0534151298272,0.01,0.18839104480110108
71,-4.20538952304277,0.01,0.18099702332168818
72,-3.3186425455163526,0.01,0.1865771114360541
73,-125.96524413714583,0.01,0.1832889687968418
74,-121.99220928410467,0.01,0.17061270950362087
75,-246.3739909114392,0.01,0.16375914065632968
76,-118.99265387018929,0.01,0.18025219635106624
77,-379.11852637906503,0.01,0.18726457132026553
78,-245.61384004572676,0.01,0.18068620980717243
79,-257.6278778809237,0.01,0.176681540152058
80,-118.3346334670973,0.01,0.1746631847228855
81,-267.8014371810467,0.01,0.16827384824864566
82,-242.87415131438988,0.01,0.16883215454407036
83,-121.97695371913422,0.01,0.16511596451047808
84,-7.481467854223818,0.01,0.17174806253053249
85,-120.34320301598491,0.01,0.17481724311597646
86,-119.85555787804115,0.01,0.15932142136618496
87,-6.616414669951526,0.01,0.16308302860707044
88,-127.25890077781145,0.01,0.18743229292333127
89,-4.169290027367254,0.01,0.17881663622334598
90,-3.2892171243397916,0.01,0.16182529482990504
91,-123.34089108643282,0.01,0.1744550764746964
92,-123.22707627969734,0.01,0.16201636356301605
93,-302.17217213469763,0.01,0.1666669325483963
94,-125.21595252713843,0.01,0.15792523864656688
95,-237.3733865859664,0.01,0.17511969162151217
96,-119.10268026824154,0.01,0.17227940094191582
97,-239.12156204374318,0.01,0.1864221614599228
98,-129.29079851617524,0.01,0.17495756302494556
99,-231.94857954973236,0.01,0.16857517270371317
100,-126.98471188418054,0.01,0.15598919237963854
101,-5.819898295373822,0.01,0.1531871135905385
102,-127.8380480040556,0.01,0.17054000006988645
103,-123.16693805577108,0.01,0.1564709238195792
104,-229.96071725272267,0.01,0.18613388639874756
105,-358.10913829167896,0.01,0.16973658197559416
106,-128.41663669154704,0.01,0.17076901170425118
107,-4.859794732927545,0.01,0.16960318421013654
108,-239.95235113666809,0.01,0.16241939179599285
109,-124.73349440505653,0.01,0.18120676530525087
110,-123.22700908468444,0.01,0.1757768781343475
111,-127.03456318436658,0.01,0.16383263930212708
112,-311.1214006752239,0.01,0.15107906999066473
113,-124.83399463832939,0.01,0.16171887549106032
114,-232.44133505805257,0.01,0.14565814186353238
115,-124.2745613243153,0.01,0.17646371720824391
116,-237.25567285890273,0.01,0.17316386118996888
117,-242.14875534302644,0.01,0.15194653888698667
118,-259.49253314858856,0.01,0.16873932526446878
119,-119.81705213738985,0.01,0.16677894453518094
120,-118.23150667652814,0.01,0.17456498317886143
121,-347.73474316477456,0.01,0.14380003333557398
122,-235.24561650924136,0.01,0.17380748976953328
123,-123.10173666813003,0.01,0.1416382072586566
124,-241.47407486207914,0.01,0.16100047367159276
125,-3.2140528555348595,0.01,0.17080120467115192
126,-6.782500010740721,0.01,0.17336906280368566
127,-351.7643114480615,0.01,0.15778499324340373
128,-223.31933965707924,0.01,0.15162835305556654
129,-258.5782225489703,0.01,0.1572606639470905
130,-125.93280557481754,0.01,0.15681898353155702
131,-116.09711964424211,0.01,0.1500637995218858
132,-4.526779023054735,0.01,0.16737956379074603
133,-122.77605232758697,0.01,0.16691129085607825
134,-253.3792105172348,0.01,0.1436109432997182
135,-397.8329632035772,0.01,0.14111831299960614
136,-228.85890102504518,0.01,0.15854812120553105
137,-121.42617685986309,0.01,0.14514907657634468
138,-126.22370864632391,0.01,0.15059725827537476
139,-349.0735787155615,0.01,0.14833220720756798
140,-128.73289775451698,0.01,0.1530414413753897
141,-127.46621921675893,0.01,0.14027865938376635
142,-126.90928257704208,0.01,0.15002944914856925
143,-249.38422758448274,0.01,0.14422408789861949
144,-125.10942718536002,0.01,0.14865977823734283
145,-129.03134898688066,0.01,0.16117911693640052
146,-126.6903409182866,0.01,0.17458225881215184
147,-120.04088630751797,0.01,0.14600526883266865
148,-242.0357414041343,0.01,0.1627829490462318
149,-117.80839928940256,0.01,0.16549044217448683
150,-130.29863107176706,0.01,0.14688089903909712

eval_point,mean,median,std,iqr,min,max,ci_lo,ci_hi
25,-431.7755650744498,-126.06218666143941,552.8611229783812,387.7499068630566,-1643.6270589410608,-3.057293856108945,-568.555126029177,-303.1644304587147
50,-143.26832664246675,-124.24231512220658,81.8758814245335,103.9944361294871,-342.99009535075777,-0.07754403888640843,-162.63847397028925,-124.53392620939067
75,-195.3624927427142,-129.63247695040144,273.50565109650466,256.85571528280155,-1875.5632496615922,-7.9902934148569145,-263.9865817471258,-139.6264111405159
100,-140.31383344168017,-126.63584419334921,89.86534404635779,109.15287645167261,-350.3235621808314,-4.051923939109275,-160.66489309778743,-118.64817022712705
125,-155.42062198206287,-133.52433321269353,73.20988586164742,104.400613441393,-347.2065612218454,-0.571045267234808,-172.41094031760284,-138.97932934216306
150,-141.5398682256903,-123.86837545896304,74.80880607156251,108.13566868116051,-252.01712848082553,-2.88829634426295,-159.95034643744975,-123.80470799130657
